#Phrase	أقسام الكلم	إعراب	نوع الفعل
العبْ بالْكُرةِ.	فعل حرف+اسم	فعل جار+مجرور	أمر جار+مجرور
أطعمْ قطَّكَ.	فعل اسم	فعل فاعل	أمر فاعل
أكرمَا ضيوفكما.	فعل اسم	فعل فاعل	أمر فاعل
اُتُركِ المزاحَ.	فعل اسم	فعل مفعول	أمر مفعول
احفظي درسك. 	فعل اسم	فعل مفعول	أمر مفعول
اُدْعُ الطبيب.	فعل اسم	فعل مفعول	أمر مفعول
ارحم الضعيف.	فعل اسم	فعل مفعول	أمر مفعول
اُهْجُرِ الكَذِبَ.	فعل اسم	فعل مفعول	أمر مفعول
أوقدَنْ مصباحك.	فعل اسم	فعل مفعول	أمر مفعول
نظفْ ثِيابكَ.	فعل اسم	فعل مفعول	أمر مفعول
هذبْنَ أولادكن.	فعل اسم	فعل مفعول	أمر مفعول
اشتدَ البَرْدُ.	فعل اسم	فعل فاعل	ماضي فاعل
باضتِ الدَّجاجةُ.	فعل اسم	فعل فاعل	ماضي فاعل
ثارَ الغبار.	فعل اسم	فعل فاعل	ماضي فاعل
جَاءَتِ الْبِنْتُ.	فعل اسم	فعل فاعل	ماضي فاعل
جَرَى الْكلبُ.	فعل اسم	فعل فاعل	ماضي فاعل
دَقَّتِ السَّاعةُ.	فعل اسم	فعل فاعل	ماضي فاعل
سارَ القِطَارُ.	فعل اسم	فعل فاعل	ماضي فاعل
سافَر وَالدِي.	فعل اسم	فعل فاعل	ماضي فاعل
ضَاعَ الْكِتَابُ.	فعل اسم	فعل فاعل	ماضي فاعل
طارَ الصَّقْرُ.	فعل اسم	فعل فاعل	ماضي فاعل
عطِشَ الزَّرْعُ.	فعل اسم	فعل فاعل	ماضي فاعل
فتحْتُ الباب.	فعل اسم	فعل فاعل	ماضي فاعل
قطفْنَا الأزهار.	فعل اسم	فعل فاعل	ماضي فاعل
مَرِضَ الْغُلامُ.	فعل اسم	فعل فاعل	ماضي فاعل
نَزلَ المطرُ.	فعل اسم	فعل فاعل	ماضي فاعل
وَقفَ الرَّجلُ.	فعل اسم	فعل فاعل	ماضي فاعل
تلقفْتُ الكرة.	فعل اسم	فعل مفعول	ماضي مفعول
سمعت النصيحة. 	فعل اسم	فعل مفعول	ماضي مفعول
الجائزة للسابقِ.	اسم حرف+اسم	مبتدأ جار+مجرور	مبتدأ جار+مجرور
البستان جميل. 	اسم اسم	مبتدأ خبر	مبتدأ خبر
الْحَديقَةُ جميلةٌ. 	اسم اسم	مبتدأ خبر	مبتدأ خبر
السَّماءُ مُمْطرَةٌ. 	اسم اسم	مبتدأ خبر	مبتدأ خبر
الشمس طالعة.	اسم اسم	مبتدأ خبر	مبتدأ خبر
الأولاد لعبُوا.	اسم فعل 	مبتدأ فعل	مبتدأ ماضي
الرجال سافرُوا.	اسم فعل 	مبتدأ فعل	مبتدأ ماضي
العمال تعبُوا.	اسم فعل 	مبتدأ فعل	مبتدأ ماضي
أنطق بالصدق.	فعل حرف+اسم	فعل جار+مجرور	مضارع+مرفوع جار+مجرور
نَلعَبُ بالْكُرَةِ.	فعل حرف+اسم	فعل جار+مجرور	مضارع+مرفوع جار+مجرور
أَغِسلُ يَدَيَّ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
أَلْبَسُ ثِيابي.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
تَأْكُلُ الْبِنْتُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
تَذْبلُ الْوَرْدَةُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يُثْمِرُ البستانُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يَعُودُ الغائِبُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يُغَرِّدُ الْعُصْفُورُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يَنْبَحُ الْكلبُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يَنْتَبهُ الحَارسُ.	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
تجِفُّ الأَرْضُ. 	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
تَطْلُعُ الشَّمْسُ. 	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يحترق الحطب. 	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يسِيرُ السَّحابُ. 	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
يَنقطِعُ المطرُ. 	فعل اسم	فعل فاعل	مضارع+مرفوع فاعل
أَتَعلَّمُ السِّباحةَ.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
أَحْترِمُ الْمُعَلِّمَ.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
أَحْفَظ الدَّرْسَ.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
أخذْتُ جائزة.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
